"","time"
"1900",535
"1901",131
"1902",1096
"1903",521
"1904",614
"1905",1106
"1906",987
"1907",333
"1908",1216
"1909",1141
"1910",138
"1911",782
"1912",547
"1913",662
"1914",924
"1915",182
"1916",288
"1917",651
"1918",564
"1919",309
"1920",544
"1921",7
"1922",44
"1923",129
"1924",753
"1925",136
"1926",109
"1927",592
"1928",396
"1929",93
"1930",315
"1931",813
"1932",1050
"1933",1237
"1934",837
"1935",782
"1936",952
"1937",1114
"1938",897
"1939",644
"1940",1082
"1941",883
"1942",3344
"1943",5375
"1944",1058
"1945",807
"1946",1351
"1947",1242
"1948",1198
"1949",1334
"1950",1048
"1951",711
"1952",1139
"1953",992
"1954",1224
"1955",1299
"1956",1111
"1957",950
"1958",916
"1959",1042
"1960",615
"1961",1116
"1962",1266
"1963",893
"1964",859
"1965",999
"1966",750
"1967",939
"1968",710
"1969",185
"1970",618
"1971",1052
"1972",1229
"1973",1268
"1974",1164
"1975",1253
"1976",1662
"1977",887
"1978",1557
"1979",997
"1980",712
"1981",907
"1982",1344
"1983",1128
"1984",983
"1985",1208
"1986",1382
"1987",983
"1988",1079
"1989",233
"1990",1021
"1991",1579
"1992",1243
"1993",1004
"1994",872
"1995",781
"1996",917
"1997",859
"1998",788
"1999",973
"2000",682
"2001",750
"2002",1006
"2003",699
"2004",488
"2005",356
"2006",57
"2007",794
"2008",947
"2009",135
"2010",643
"2011",1348
"2012",1571
"2013",993
"2014",986
"2015",1240
"2016",1127
"2017",1416
"2018",1253
"2019",1167
"2020",734
"2021",785
"2022",927
"2023",1129
"2024",943
"2025",386
"2026",377
"2027",382
"2028",352
"2029",1358
"2030",998
"2031",1523
"2032",923
"2033",1268
"2034",649
"2035",1616
"2036",1397
"2037",998
"2038",1320
"2039",1232
"2040",1647
"2041",1158
"2042",1251
"2043",1137
"2044",1267
"2045",83
"2046",1296
"2047",1761
"2048",1487
"2049",903
"2050",1727
"2051",764
"2052",1441
"2053",945
"2054",1201
"2055",1083
"2056",132
"2057",262
"2058",531
"2059",221
"2060",1250
"2061",1693
"2062",1348
"2063",962
"2064",1878
"2065",1551
"2066",931
"2067",1843
"2068",1211
"2069",814
"2070",7
"2071",1232
"2072",1346
"2073",1211
"2074",702
"2075",253
"2076",786
"2077",1087
"2078",1260
"2079",724
"2080",1376
"2081",542
"2082",1344
"2083",1000
"2084",923
"2085",588
"2086",775
"2087",56
"2088",808
"2089",1403
"2090",916
"2091",1442
"2092",955
"2093",1315
"2094",1243
"2095",1304
"2096",1716
"2097",903
"2098",841
"2099",1082
"2100",583
"2101",762
"2102",118
"2103",889
"2104",681
"2105",1140
"2106",321
"2107",1552
"2108",1010
"2109",912
"2110",648
"2111",968
"2112",1202
"2113",814
"2114",1232
"2115",1274
"2116",557
"2117",1165
"2118",1038
"2119",1293
"2120",1245
"2121",885
"2122",1479
"2123",1084
"2124",1424
"2125",1003
"2126",1419
"2127",1013
"2128",833
"2129",1356
"2130",746
"2131",92
"2132",1111
"2133",95
"2134",124
"2135",592
"2136",757
"2137",522
"2138",3700
"2139",1105
"2140",1333
"2141",633
"2142",1067
"2143",479
"2144",598
"2145",1064
"2146",414
"2147",743
"2148",547
"2149",1125
"2150",1066
"2151",1170
"2152",797
"2153",587
"2154",1033
"2155",902
"2156",640
"2157",1654
"2158",841
"2159",940
"2160",109
"2161",339
"2162",123
"2163",1245
"2164",498
"2165",102
"2166",785
"2167",162
"2168",743
"2169",874
"2170",1238
"2171",1371
"2172",1342
"2173",1238
"2174",1320
"2175",1071
"2176",1160
"2177",923
"2178",948
"2179",964
"2180",1113
"2181",1324
"2182",925
"2183",925
"2184",1216
"2185",454
"2186",1507
"2187",1212
"2188",1415
"2189",1302
"2190",1165
"2191",194
"2192",91
"2193",671
"2194",576
"2195",845
"2196",1260
"2197",833
"2198",1683
"2199",888
"2200",856
"2201",919
"2202",1116
"2203",1149
"2204",902
"2205",1079
"2206",2330
"2207",1492
"2208",1259
"2209",1732
"2210",990
"2211",1522
"2212",1457
"2213",1468
"2214",1253
"2215",1073
"2216",1190
"2217",1738
"2218",832
"2219",791
"2220",1007
"2221",1083
"2222",1583
"2223",1607
"2224",928
"2225",1006
"2226",1205
"2227",1327
"2228",1110
"2229",1221
"2230",983
"2231",788
"2232",1105
"2233",1301
"2234",805
"2235",1094
"2236",1155
"2237",1191
"2238",1104
"2239",681
"2240",718
"2241",97
"2242",607
"2243",1517
"2244",1051
"2245",854
"2246",529
"2247",1053
"2248",1577
"2249",949
"2250",1092
"2251",197
"2252",1111
"2253",943
"2254",450
"2255",917
"2256",610
"2257",640
"2258",543
"2259",485
"2260",1078
"2261",1207
"2262",1201
"2263",1002
"2264",405
"2265",848
"2266",978
"2267",666
"2268",965
"2269",720
"2270",888
"2271",946
"2272",745
"2273",868
"2274",867
"2275",985
"2276",977
"2277",1008
"2278",689
"2279",282
"2280",840
"2281",833
"2282",597
"2283",633
"2284",932
"2285",990
"2286",913
"2287",1626
"2288",1174
"2289",940
"2290",943
"2291",239
"2292",611
"2293",737
"2294",857
"2295",514
"2296",689
"2297",1361
"2298",758
"2299",1474
"2300",538
"2301",584
"2302",1223
"2303",974
"2304",863
"2305",1104
"2306",898
"2307",1424
"2308",1176
"2309",808
"2310",1315
"2311",1061
"2312",898
"2313",947
"2314",932
"2315",934
"2316",1181
"2317",1263
"2318",1037
"2319",446
"2320",544
"2321",343
"2322",1229
"2323",1270
"2324",171
"2325",809
"2326",695
"2327",538
"2328",1220
"2329",405
"2330",937
"2331",1218
"2332",996
"2333",276
"2334",1088
"2335",580
"2336",520
"2337",1326
"2338",208
"2339",1109
"2340",1105
"2341",1123
"2342",1396
"2343",1284
"2344",860
